DATE/TIME	LASER;PUMP	COMMAND
---------------------------------------
2022-05-11-14-49-43	;;	STATUS=?
2022-05-11-14-49-45	;Maintenance;	STATUS=?
2022-05-11-14-50-26	;;	STATUS=?
2022-05-11-14-50-28	;Maintenance;	STATUS=?
2022-05-11-14-50-29	;Maintenance;	STATUS=?
2022-05-11-14-50-31	;1 Error detected !;	STATUS=?
2022-05-11-14-57-27	;1 Error detected !;	STATUS=?
2022-05-11-14-57-29	;;	STATUS=?
2022-05-11-14-57-31	;Maintenance;	STATUS=?
2022-05-11-14-58-56	;1 Error detected !;	STATUS=?
2022-05-11-14-59-20		STATUS=?
2022-05-11-15-00-31	;;	STATUS=?
2022-05-11-15-00-32	;;	STATUS=?
2022-05-11-15-00-34	;Maintenance;	STATUS=?
2022-05-11-15-00-36	;1 Error detected !;	STATUS=?
2022-05-11-15-01-01	;1 Error detected !;	STATUS=?
2022-05-11-15-01-09	;STANDBY;	CLEAR_ERROR
2022-05-11-15-06-30	;Press <START> to turn on;	STATUS=?
2022-05-11-15-06-38	;STANDBY;	STATUS=?
2022-05-11-15-08-21	;<KEY SWITCH> is On;	STATUS=?
2022-05-11-15-08-24	;Press <START> to turn on;	STATUS=?
2022-05-11-15-08-26	;STANDBY;	STATUS=?
2022-05-11-15-18-46	;Press <START> to turn on;	STATUS=?
2022-05-11-15-19-06	;Press <START> to turn on;	STATUS=?
2022-05-11-15-19-13	;Press <START> to turn on;	STATUS=?
2022-05-11-15-21-59	;STANDBY;	STATUS=?
2022-05-11-15-22-04	;STANDBY;	STATUS=?
2022-05-11-15-22-19	;<KEY SWITCH> is On;	SET_DATETIME:2022-05-11-15-22-19
2022-05-11-15-23-13	;Press <START> to turn on;	STATUS=?
2022-05-11-15-25-00	;Press <START> to turn on;	STATUS=?
2022-05-11-15-25-13	;Press <START> to turn on;	STATUS=?
2022-05-11-15-43-01	;STANDBY;	STATUS=?
2022-05-11-15-43-03	;Press <START> to turn on;	STATUS=?
2022-05-11-15-43-13	;STANDBY;	STATUS=?
2022-05-11-15-43-16	;Press <START> to turn on;	STATUS=?
2022-05-11-15-57-27	;Press <START> to turn on;	STATUS=?
2022-05-11-15-57-31	;STANDBY;	STATUS=?
2022-05-11-15-57-34	;Press <START> to turn on;	STATUS=?
2022-05-11-16-00-57	;STANDBY;	STATUS=?
2022-05-11-16-03-05	;STANDBY;	START
2022-05-11-16-03-11	;Wait for warmup...;Turning on pump laser	STATUS=?
2022-05-11-16-03-19	;Wait for warmup...;Waiting for pump: 298 s	STATUS=?
2022-05-11-16-04-30	;Elapsed Time: 1 min 21 s;Waiting for pump: 227 s	STATUS=?
2022-05-11-16-04-50	;System Warmup;Waiting for pump: 207 s	STATUS=?
2022-05-11-16-05-01	;Wait for warmup...;Waiting for pump: 197 s	STATUS=?
2022-05-11-16-05-24	;System Warmup;Waiting for pump: 174 s	STATUS=?
2022-05-11-16-06-15	;System Warmup;Waiting for pump: 123 s	STATUS=?
2022-05-11-16-06-21	;Press <STOP> to abort warmup;Waiting for pump: 116 s	STATUS=?
2022-05-11-16-06-39	;Press <STOP> to abort warmup;Waiting for pump: 99 s	STATUS=?
2022-05-11-16-07-01	;Elapsed Time: 3 min 51 s;Waiting for pump: 77 s	STATUS=?
2022-05-11-16-07-24	;Wait for warmup...;Waiting for pump: 54 s	STATUS=?
2022-05-11-16-07-39	;System Warmup;Waiting for pump: 39 s	STATUS=?
2022-05-11-16-07-47	;System Warmup;Waiting for pump: 30 s	STATUS=?
2022-05-11-16-07-58	;Wait for warmup...;Waiting for pump: 19 s	STATUS=?
2022-05-11-16-08-13	;System Warmup;Waiting for pump: 5 s	STATUS=?
2022-05-11-16-08-32	;Wait for warmup...;Wait for Beam Loop 2-X (1)	STATUS=?
2022-05-11-16-08-46	;System Warmup;Wait for Beam Loop 2-X (2)	STATUS=?
2022-05-11-16-09-08	;Elapsed Time: 5 min 58 s;Wait for Power Stabilization	STATUS=?
2022-05-11-16-09-24	;Elapsed Time: 6 min 14 s;Wait for Power Stabilization	STATUS=?
2022-05-11-16-09-35	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-09-47	;Wait for warmup...;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-00	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-27	;System Warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-42	;Press <STOP> to abort warmup;Wait for Power Stabilization	STATUS=?
2022-05-11-16-10-56	;Maintenance;	STATUS=?
2022-05-11-16-11-06	;1 Error detected !;	STATUS=?
2022-05-11-16-11-20	;;	STATUS=?
2022-05-11-16-13-16	;Maintenance;	STATUS=?
2022-05-11-16-14-19	;Maintenance;	STATUS=?
2022-05-11-16-14-21	;1 Error detected !;	STATUS=?
2022-05-11-16-14-25	;STANDBY;	CLEAR_ERROR
